Timestamp,DeviceName,InitiatingProcessAccountDomain,ActionType,RemoteIP,RemotePort,RemoteUrl,InitiatingProcessFileName,InitiatingProcessFolderPath
"May 4, 2026 10:47:16 AM",threat-hunt-lab,threat-hunt-lab,ConnectionSuccess,127.0.0.1,9150,,firefox.exe,c:\users\employee\desktop\tor browser\browser\firefox.exe
"May 4, 2026 10:47:03 AM",threat-hunt-lab,,ConnectionAcknowledged,87.98.237.152,9001,,,
"May 4, 2026 10:47:03 AM",threat-hunt-lab,threat-hunt-lab,ConnectionSuccess,87.98.237.152,9001,https://www.yuj3d3j5kdddyhwkaf6rhay3.com,tor.exe,c:\users\employee\desktop\tor browser\browser\torbrowser\tor\tor.exe
"May 4, 2026 10:47:02 AM",threat-hunt-lab,threat-hunt-lab,ConnectionSuccess,87.98.237.152,9001,,tor.exe,c:\users\employee\desktop\tor browser\browser\torbrowser\tor\tor.exe
"May 4, 2026 10:47:01 AM",threat-hunt-lab,threat-hunt-lab,ConnectionSuccess,192.34.87.86,9001,https://www.o2d7owf4dzw.com,tor.exe,c:\users\employee\desktop\tor browser\browser\torbrowser\tor\tor.exe
"May 4, 2026 10:47:00 AM",threat-hunt-lab,,ConnectionAcknowledged,192.34.87.86,9001,,,
"May 4, 2026 10:47:00 AM",threat-hunt-lab,threat-hunt-lab,ConnectionSuccess,192.34.87.86,9001,,tor.exe,c:\users\employee\desktop\tor browser\browser\torbrowser\tor\tor.exe
"Apr 29, 2026 3:59:27 PM",threat-hunt-lab,threat-hunt-lab,ConnectionSuccess,86.121.35.224,9001,https://www.v553rjqefigo577.com,tor.exe,c:\users\johnnynet1\desktop\tor browser\browser\torbrowser\tor\tor.exe
"Apr 29, 2026 3:58:27 PM",threat-hunt-lab,,ConnectionAcknowledged,86.121.35.224,9001,,,
"Apr 29, 2026 3:58:27 PM",threat-hunt-lab,threat-hunt-lab,ConnectionSuccess,86.121.35.224,9001,,tor.exe,c:\users\johnnynet1\desktop\tor browser\browser\torbrowser\tor\tor.exe
"Apr 29, 2026 3:58:14 PM",threat-hunt-lab,threat-hunt-lab,ConnectionSuccess,127.0.0.1,9150,,firefox.exe,c:\users\johnnynet1\desktop\tor browser\browser\firefox.exe
"Apr 29, 2026 3:57:47 PM",threat-hunt-lab,,ConnectionAcknowledged,144.217.90.187,9001,,,
"Apr 29, 2026 3:57:47 PM",threat-hunt-lab,threat-hunt-lab,ConnectionSuccess,144.217.90.187,9001,https://www.6dvt7fc7dapsn7p.com,tor.exe,c:\users\johnnynet1\desktop\tor browser\browser\torbrowser\tor\tor.exe
"Apr 29, 2026 3:57:47 PM",threat-hunt-lab,threat-hunt-lab,ConnectionSuccess,144.217.90.187,9001,,tor.exe,c:\users\johnnynet1\desktop\tor browser\browser\torbrowser\tor\tor.exe
"Apr 14, 2026 8:50:38 AM",threat-hunt-lab,,ConnectionAcknowledged,65.21.49.9,9001,,,
"Apr 14, 2026 8:50:38 AM",threat-hunt-lab,,ConnectionAcknowledged,45.157.234.132,9001,,,
"Apr 14, 2026 8:50:38 AM",threat-hunt-lab,threat-hunt-lab,ConnectionSuccess,65.21.49.9,9001,,tor.exe,c:\users\employee\desktop\tor browser\browser\torbrowser\tor\tor.exe
"Apr 14, 2026 8:50:38 AM",threat-hunt-lab,threat-hunt-lab,ConnectionSuccess,45.157.234.132,9001,,tor.exe,c:\users\employee\desktop\tor browser\browser\torbrowser\tor\tor.exe
"Apr 14, 2026 8:45:48 AM",threat-hunt-lab,threat-hunt-lab,ConnectionSuccess,127.0.0.1,9150,,firefox.exe,c:\users\employee\desktop\tor browser\browser\firefox.exe
